After Hours Change (Realtime),Annualized Gain,Ask,Ask (Realtime),Ask Size,Average Daily Volume,Bid,Bid (Realtime),Bid Size,Book Value Per Share,Change,Change Change In Percent,Change From Fiftyday Moving Average,Change From Two Hundredday Moving Average,Change From Year High,Change From Year Low,Change In Percent,Change In Percent (Realtime),Change (Realtime),Commission,Currency,Days High,Days Low,Days Range,Days Range (Realtime),Days Value Change,Days Value Change (Realtime),Dividend Pay Date,Trailing Annual Dividend Yield,Trailing Annual Dividend Yield In Percent,Diluted E P S,E B I T D A,E P S Estimate Current Year,E P S Estimate Next Quarter,E P S Estimate Next Year,Ex Dividend Date,Fiftyday Moving Average,Shares Float,High Limit,Holdings Gain,Holdings Gain Percent,Holdings Gain Percent (Realtime),Holdings Gain (Realtime),Holdings Value,Holdings Value (Realtime),Last Trade Date,Last Trade Price Only,Last Trade (Realtime) With Time,Last Trade Size,Last Trade Time,Last Trade With Time,Low Limit,Market Capitalization,Market Cap (Realtime),More Info,Name,Notes,Oneyr Target Price,Open,Order Book (Realtime),P E G Ratio,P E Ratio,P E Ratio (Realtime),Percent Change From Fiftyday Moving Average,Percent Change From Two Hundredday Moving Average,Change In Percent From Year High,Percent Change From Year Low,Previous Close,Price Book,Price E P S Estimate Current Year,Price E P S Estimate Next Year,Price Paid,Price Sales,Revenue,Shares Owned,Shares Outstanding,Short Ratio,Stock Exchange,Symbol,Ticker Trend,Trade Date,Trade Links,Trade Links Additional,Two Hundredday Moving Average,Volume,Year High,Year Low,Year Range
,,,,20400.0,1405870.0,,,14800.0,3.07,0.03,,-0.13,0.68,-0.9,1.67,0.0042,,,,,,,,,,,,,,,1810000000.0,0.56,0.0,0.64,,7.35,1100356000.0,,,,,,,,,7.22,,23460.0,,,,11140000000.0,,,,,7.95,,,0.63,,,-0.0174,0.10470000000000002,-0.11080000000000001,0.3009,,2.34,12.89,11.28,,1.35,8240000000.0,,1543168000.0,1.7,,,,,,,6.54,,,,
,,,,1000.0,165808.0,,,1500.0,5.14,-0.02,,0.29,0.82,-1.62,1.72,-0.0036,,,,,,,,,,,,,,,172500000.0,0.0,0.0,-0.08,,5.32,167462000.0,,,,,,,,,5.61,,231.0,,,,955380000.0,,,,,6.21,,,0.0,,,0.0538,0.1711,-0.2241,0.4422,,1.09,,,,5.83,164350000.0,,170300000.0,5.0,,,,,,,4.79,,,,
,,,,200.0,10252.0,,,200.0,6.81,0.04,,-0.45,0.13,-1.39,2.48,0.0032,,,,,,,,,,,,,,,110240000.0,,0.0,,,12.91,172635000.0,,,,,,,,,12.46,,185.0,,,,2170000000.0,,,,,28.0,,,0.0,,,-0.0351,0.010700000000000001,-0.10039999999999999,0.24850000000000003,,1.82,,,,1.71,1270000000.0,,174275000.0,0.6,,,,,,,12.33,,,,
,,,,100.0,73210.0,,,100.0,0.0,0.0,,0.19,0.48,-2.26,2.08,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,17.18,,,,,,,,,,17.37,,208.0,,,,,,,,,,,,0.0,,,0.011200000000000002,0.0282,-0.1151,0.136,,,,,,,,,,0.0,,,,,,,16.89,,,,
,,,,100.0,150648.0,,,100.0,0.0,0.02,,0.23,0.37,-0.82,0.86,0.0029,,,,,,,,,,,,,,,,,0.0,,,6.67,,,,,,,,,,6.9,,400.0,,,,,,,,,,,,0.0,,,0.0339,0.057,-0.10619999999999999,0.1424,,,,,,,,,,,,,,,,,6.53,,,,
,,,,100.0,42734.0,,,100.0,0.0,0.0,,0.14,0.32,-0.86,1.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,9.42,,,,,,,,,,9.56,,302.0,,,,,,,,,,,,0.0,,,0.0144,0.0342,-0.0825,0.1168,,,,,,,,,,0.0,,,,,,,9.24,,,,
,,,,100.0,1732980.0,,,100.0,23.71,0.34,,2.29,2.43,-5.61,7.81,0.0105,,,,,,,,,,,,,,,564220000.0,2.88,0.76,3.24,,30.34,153359000.0,,,,,,,,,32.63,,48893.0,,,,5070000000.0,,,,,34.3,,,0.84,,,0.0755,0.0806,-0.1467,0.3147,,1.36,11.33,10.07,,0.47,10590000000.0,,155475000.0,2.0,,,,,,,30.2,,,,
,,,,100.0,269153.0,,,100.0,11.76,0.27,,0.26,2.56,-0.92,7.46,0.019,,,,,,,,,,,,,,,109990000.0,1.11,0.26,1.36,,14.19,23106000.0,,,,,,,,,14.45,,3134.0,,,,697520000.0,,,,,17.4,,,0.94,,,0.018500000000000003,0.2154,-0.0599,1.0672,,1.21,13.02,10.62,,0.1,6660000000.0,,48271000.0,15.7,,,,,,,11.89,,,,
,,,,100.0,18132.0,,,100.0,14.43,0.0,,0.12,0.43,-0.4,3.23,0.0,,,,,,,,,,,,,,,2040000000.0,,0.0,,,24.28,1815800000.0,,,,,,,,,24.4,,100.0,,,,51460000000.0,,,,,,,,0.0,,,0.0048,0.0179,-0.0161,0.1526,,1.69,,,,1.09,47340000000.0,,2109163000.0,0.0,,,,,,,23.97,,,,
,,,,200.0,20866.0,,,200.0,14.43,-0.01,,0.08,0.23,-0.16,0.89,-0.0004,,,,,,,,,,,,,,,2040000000.0,,0.0,,,25.71,1815800000.0,,,,,,,,,25.79,,100.0,,,,54400000000.0,,,,,,,,0.0,,,0.0032,0.0088,-0.0062,0.0357,,1.79,,,,1.15,47340000000.0,,2109163000.0,0.5,,,,,,,25.56,,,,
,,,,2900.0,1191590.0,,,500.0,14.43,-0.02,,0.07,0.29,-1.22,1.07,-0.0025,,,,,,,,,,,,,,,2040000000.0,0.3,0.0,0.77,,7.97,1815800000.0,,,,,,,,,8.04,,11563.0,,,,16960000000.0,,,,,8.4,,,1.88,,,0.0094,0.038,-0.1317,0.1535,,0.56,26.8,10.44,,0.36,47340000000.0,,2109163000.0,3.1,,,,,,,7.75,,,,
,,,,500.0,53426.0,,,1900.0,0.0,-0.03,,-0.1,-0.15,-0.65,0.35,-0.0012,,,,,,,,,,,,,,,0.0,,0.0,,,25.44,,,,,,,,,,25.34,,200.0,,,,,,,,,,,,0.0,,,-0.0040999999999999995,-0.005699999999999999,-0.025,0.013999999999999999,,,,,,,,,,0.0,,,,,,,25.49,,,,
